time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
13-10-2023 10:59:00,19675.10,19677.20,19674.35,19677.20,0.00,0,0,0,0
13-10-2023 11:00:00,19676.35,19679.10,19675.25,19676.45,0.00,0,0,0,0
13-10-2023 11:01:00,19676.75,19679.25,19674.60,19678.70,0.00,0,0,0,0
13-10-2023 11:02:00,19678.25,19680.60,19678.10,19678.50,0.00,0,0,0,0
13-10-2023 11:03:00,19677.95,19678.55,19670.90,19671.85,0.00,0,0,0,0
13-10-2023 11:04:00,19671.95,19681.70,19670.55,19678.90,0.00,0,0,0,0
13-10-2023 11:05:00,19678.45,19679.50,19675.10,19677.75,0.00,0,0,0,0
13-10-2023 11:06:00,19677.45,19681.85,19677.45,19681.85,0.00,0,0,0,0
13-10-2023 11:07:00,19680.40,19683.10,19679.30,19680.05,0.00,0,0,0,0
13-10-2023 11:08:00,19680.20,19680.65,19678.00,19678.35,0.00,0,0,0,0
13-10-2023 11:09:00,19679.60,19680.15,19677.40,19679.50,0.00,0,0,0,0
13-10-2023 11:10:00,19678.85,19680.50,19678.05,19679.10,0.00,0,0,0,0
13-10-2023 11:11:00,19679.15,19681.70,19677.40,19680.15,0.00,0,0,0,0
13-10-2023 11:12:00,19680.10,19680.75,19677.85,19679.05,0.00,0,0,0,0
13-10-2023 11:13:00,19678.80,19682.05,19678.80,19680.05,0.00,0,0,0,0
13-10-2023 11:14:00,19680.60,19680.70,19677.50,19678.85,0.00,0,0,0,0
13-10-2023 11:15:00,19678.35,19678.90,19676.20,19678.45,0.00,0,0,0,0
13-10-2023 11:16:00,19678.80,19680.30,19677.60,19677.95,0.00,0,0,0,0
13-10-2023 11:17:00,19677.85,19678.80,19675.60,19678.35,0.00,0,0,0,0
13-10-2023 11:18:00,19677.95,19686.80,19677.50,19686.30,0.00,0,0,0,0
13-10-2023 11:19:00,19686.70,19688.50,19684.20,19687.20,0.00,0,0,0,0
13-10-2023 11:20:00,19687.65,19688.95,19686.15,19687.30,0.00,0,0,0,0
13-10-2023 11:21:00,19687.55,19689.70,19687.55,19688.35,0.00,0,0,0,0
13-10-2023 11:22:00,19688.55,19689.50,19686.55,19688.85,0.00,0,0,0,0
13-10-2023 11:23:00,19689.05,19689.05,19686.40,19687.15,0.00,0,0,0,0
13-10-2023 11:24:00,19687.55,19690.20,19686.10,19688.95,0.00,0,0,0,0
13-10-2023 11:25:00,19689.35,19691.25,19688.50,19690.80,0.00,0,0,0,0
