time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
29-09-2023 10:04:00,19599.55,19602.50,19597.25,19599.40,0.00,0,0,0,0
29-09-2023 10:03:00,19594.10,19599.35,19593.75,19597.90,0.00,0,0,0,0
29-09-2023 10:02:00,19589.45,19594.65,19589.05,19593.95,0.00,0,0,0,0
29-09-2023 10:01:00,19580.40,19591.45,19580.00,19590.15,0.00,0,0,0,0
29-09-2023 10:00:00,19582.65,19583.25,19576.25,19580.85,0.00,0,0,0,0
29-09-2023 09:59:00,19587.25,19587.25,19581.80,19581.90,0.00,0,0,0,0
29-09-2023 09:58:00,19583.10,19587.90,19581.10,19586.90,0.00,0,0,0,0
29-09-2023 09:57:00,19589.55,19589.80,19583.25,19583.25,0.00,0,0,0,0
29-09-2023 09:56:00,19590.60,19592.40,19586.40,19589.20,0.00,0,0,0,0
29-09-2023 09:55:00,19592.95,19595.35,19589.50,19590.80,0.00,0,0,0,0
29-09-2023 09:54:00,19595.15,19596.70,19589.80,19593.70,0.00,0,0,0,0
29-09-2023 09:53:00,19592.90,19596.90,19589.35,19595.05,0.00,0,0,0,0
29-09-2023 09:52:00,19593.50,19594.10,19591.05,19593.55,0.00,0,0,0,0
29-09-2023 09:51:00,19593.65,19596.55,19590.95,19594.05,0.00,0,0,0,0
29-09-2023 09:50:00,19592.35,19596.25,19588.35,19593.90,0.00,0,0,0,0
29-09-2023 09:49:00,19591.60,19594.15,19589.00,19591.35,0.00,0,0,0,0
29-09-2023 09:48:00,19589.90,19592.75,19585.10,19592.75,0.00,0,0,0,0
29-09-2023 09:47:00,19586.25,19593.00,19585.00,19589.80,0.00,0,0,0,0
29-09-2023 09:46:00,19589.05,19592.00,19583.40,19584.40,0.00,0,0,0,0
29-09-2023 09:45:00,19579.50,19590.15,19579.50,19590.10,0.00,0,0,0,0
29-09-2023 09:44:00,19569.45,19580.10,19569.40,19579.95,0.00,0,0,0,0
